cmd:0x04 | len:8 | payload:01 00 00 00 19 00 00 00
cmd:0x04 | len:8 | payload:02 00 00 00 18 00 00 00
cmd:0x04 | len:8 | payload:03 00 00 00 19 00 00 00
cmd:0x04 | len:8 | payload:01 00 00 00 FF 41 0F 00
cmd:0x04 | len:8 | payload:02 00 00 00 0F 42 0F 00
cmd:0x04 | len:8 | payload:03 00 00 00 0F 42 0F 00
cmd:0x04 | len:8 | payload:01 00 00 00 10 84 1E 00
cmd:0x04 | len:8 | payload:02 00 00 00 30 84 1E 00
cmd:0x04 | len:8 | payload:03 00 00 00 30 84 1E 00
cmd:0x04 | len:8 | payload:01 00 00 00 1E C6 2D 00
cmd:0x04 | len:8 | payload:02 00 00 00 4F C6 2D 00
cmd:0x04 | len:8 | payload:03 00 00 00 4E C6 2D 00
cmd:0x04 | len:8 | payload:01 00 00 00 33 08 3D 00
cmd:0x04 | len:8 | payload:02 00 00 00 74 08 3D 00
cmd:0x04 | len:8 | payload:03 00 00 00 73 08 3D 00
cmd:0x04 | len:8 | payload:01 00 00 00 41 4A 4C 00
cmd:0x04 | len:8 | payload:02 00 00 00 93 4A 4C 00
cmd:0x04 | len:8 | payload:03 00 00 00 91 4A 4C 00
cmd:0x04 | len:8 | payload:03 00 00 00 B2 8C 5B 00
cmd:0x04 | len:8 | payload:01 00 00 00 52 8C 5B 00
cmd:0x04 | len:8 | payload:02 00 00 00 B5 8C 5B 00
cmd:0x04 | len:8 | payload:02 00 00 00 D4 CE 6A 00
cmd:0x04 | len:8 | payload:01 00 00 00 61 CE 6A 00
cmd:0x04 | len:8 | payload:03 00 00 00 D2 CE 6A 00
cmd:0x04 | len:8 | payload:01 00 00 00 75 10 7A 00
cmd:0x04 | len:8 | payload:02 00 00 00 F9 10 7A 00
cmd:0x04 | len:8 | payload:03 00 00 00 F6 10 7A 00
cmd:0x04 | len:8 | payload:01 00 00 00 84 52 89 00
cmd:0x04 | len:8 | payload:02 00 00 00 19 53 89 00
cmd:0x04 | len:8 | payload:03 00 00 00 15 53 89 00
cmd:0x04 | len:8 | payload:02 00 00 00 3A 95 98 00
cmd:0x04 | len:8 | payload:01 00 00 00 95 94 98 00
cmd:0x04 | len:8 | payload:03 00 00 00 36 95 98 00
cmd:0x04 | len:8 | payload:01 00 00 00 A4 D6 A7 00
cmd:0x04 | len:8 | payload:02 00 00 00 5A D7 A7 00
cmd:0x04 | len:8 | payload:03 00 00 00 55 D7 A7 00
cmd:0x04 | len:8 | payload:03 00 00 00 77 19 B7 00
cmd:0x04 | len:8 | payload:01 00 00 00 B7 18 B7 00
cmd:0x04 | len:8 | payload:02 00 00 00 7C 19 B7 00
cmd:0x04 | len:8 | payload:01 00 00 00 C8 5A C6 00
cmd:0x04 | len:8 | payload:02 00 00 00 9F 5B C6 00
cmd:0x04 | len:8 | payload:03 00 00 00 99 5B C6 00
cmd:0x04 | len:8 | payload:03 00 00 00 BB 9D D5 00
cmd:0x04 | len:8 | payload:01 00 00 00 DA 9C D5 00
cmd:0x04 | len:8 | payload:02 00 00 00 C1 9D D5 00
cmd:0x04 | len:8 | payload:01 00 00 00 E8 DE E4 00
cmd:0x04 | len:8 | payload:02 00 00 00 E0 DF E4 00
cmd:0x04 | len:8 | payload:03 00 00 00 DA DF E4 00
cmd:0x04 | len:8 | payload:03 00 00 00 FB 21 F4 00
cmd:0x04 | len:8 | payload:01 00 00 00 F9 20 F4 00
cmd:0x04 | len:8 | payload:02 00 00 00 02 22 F4 00
cmd:0x04 | len:8 | payload:01 00 00 00 08 63 03 01
cmd:0x04 | len:8 | payload:02 00 00 00 21 64 03 01
cmd:0x04 | len:8 | payload:03 00 00 00 1A 64 03 01
cmd:0x04 | len:8 | payload:01 00 00 00 18 A5 12 01
cmd:0x04 | len:8 | payload:02 00 00 00 42 A6 12 01
cmd:0x04 | len:8 | payload:03 00 00 00 3A A6 12 01
cmd:0x04 | len:8 | payload:01 00 00 00 2A E7 21 01
cmd:0x04 | len:8 | payload:02 00 00 00 64 E8 21 01
cmd:0x04 | len:8 | payload:03 00 00 00 5C E8 21 01
cmd:0x04 | len:8 | payload:01 00 00 00 3C 29 31 01
cmd:0x04 | len:8 | payload:02 00 00 00 87 2A 31 01
cmd:0x04 | len:8 | payload:03 00 00 00 7E 2A 31 01
cmd:0x04 | len:8 | payload:01 00 00 00 4C 6B 40 01
cmd:0x04 | len:8 | payload:02 00 00 00 A7 6C 40 01
cmd:0x04 | len:8 | payload:03 00 00 00 9E 6C 40 01
cmd:0x04 | len:8 | payload:01 00 00 00 5F AD 4F 01
cmd:0x04 | len:8 | payload:02 00 00 00 CB AE 4F 01
cmd:0x04 | len:8 | payload:03 00 00 00 C1 AE 4F 01
cmd:0x04 | len:8 | payload:01 00 00 00 6F EF 5E 01
cmd:0x04 | len:8 | payload:02 00 00 00 EB F0 5E 01
cmd:0x04 | len:8 | payload:03 00 00 00 E1 F0 5E 01
cmd:0x04 | len:8 | payload:01 00 00 00 7D 31 6E 01
cmd:0x04 | len:8 | payload:02 00 00 00 0A 33 6E 01
cmd:0x04 | len:8 | payload:03 00 00 00 FF 32 6E 01
cmd:0x04 | len:8 | payload:01 00 00 00 90 73 7D 01
cmd:0x04 | len:8 | payload:02 00 00 00 2E 75 7D 01
cmd:0x04 | len:8 | payload:03 00 00 00 22 75 7D 01
cmd:0x04 | len:8 | payload:02 00 00 00 4F B7 8C 01
cmd:0x04 | len:8 | payload:01 00 00 00 A1 B5 8C 01
cmd:0x04 | len:8 | payload:03 00 00 00 43 B7 8C 01
cmd:0x04 | len:8 | payload:01 00 00 00 B2 F7 9B 01
cmd:0x04 | len:8 | payload:02 00 00 00 71 F9 9B 01
cmd:0x04 | len:8 | payload:03 00 00 00 64 F9 9B 01
cmd:0x04 | len:8 | payload:01 00 00 00 BF 39 AB 01
cmd:0x04 | len:8 | payload:02 00 00 00 8E 3B AB 01
cmd:0x04 | len:8 | payload:03 00 00 00 82 3B AB 01
cmd:0x04 | len:8 | payload:02 00 00 00 B3 7D BA 01
cmd:0x04 | len:8 | payload:01 00 00 00 D3 7B BA 01
cmd:0x04 | len:8 | payload:03 00 00 00 A6 7D BA 01
cmd:0x04 | len:8 | payload:01 00 00 00 E1 BD C9 01
cmd:0x04 | len:8 | payload:02 00 00 00 D1 BF C9 01
cmd:0x04 | len:8 | payload:03 00 00 00 C4 BF C9 01
cmd:0x04 | len:8 | payload:01 00 00 00 F5 FF D8 01
cmd:0x04 | len:8 | payload:02 00 00 00 F6 01 D9 01
cmd:0x04 | len:8 | payload:03 00 00 00 E8 01 D9 01
cmd:0x04 | len:8 | payload:01 00 00 00 06 42 E8 01
cmd:0x04 | len:8 | payload:02 00 00 00 18 44 E8 01
cmd:0x04 | len:8 | payload:03 00 00 00 09 44 E8 01
cmd:0x04 | len:8 | payload:02 00 00 00 37 86 F7 01
cmd:0x04 | len:8 | payload:01 00 00 00 15 84 F7 01
cmd:0x04 | len:8 | payload:03 00 00 00 28 86 F7 01
cmd:0x04 | len:8 | payload:01 00 00 00 25 C6 06 02
cmd:0x04 | len:8 | payload:02 00 00 00 58 C8 06 02
cmd:0x04 | len:8 | payload:03 00 00 00 48 C8 06 02
cmd:0x04 | len:8 | payload:03 00 00 00 67 0A 16 02
cmd:0x04 | len:8 | payload:01 00 00 00 34 08 16 02
cmd:0x04 | len:8 | payload:02 00 00 00 77 0A 16 02
cmd:0x04 | len:8 | payload:01 00 00 00 45 4A 25 02
cmd:0x04 | len:8 | payload:02 00 00 00 99 4C 25 02
cmd:0x04 | len:8 | payload:03 00 00 00 88 4C 25 02
cmd:0x04 | len:8 | payload:01 00 00 00 57 8C 34 02
cmd:0x04 | len:8 | payload:02 00 00 00 BC 8E 34 02
cmd:0x04 | len:8 | payload:03 00 00 00 AB 8E 34 02
cmd:0x04 | len:8 | payload:02 00 00 00 DB D0 43 02
cmd:0x04 | len:8 | payload:01 00 00 00 66 CE 43 02
cmd:0x04 | len:8 | payload:03 00 00 00 CA D0 43 02
cmd:0x04 | len:8 | payload:01 00 00 00 78 10 53 02
cmd:0x04 | len:8 | payload:02 00 00 00 FE 12 53 02
cmd:0x04 | len:8 | payload:03 00 00 00 EC 12 53 02
cmd:0x04 | len:8 | payload:01 00 00 00 89 52 62 02
cmd:0x04 | len:8 | payload:02 00 00 00 1F 55 62 02
cmd:0x04 | len:8 | payload:03 00 00 00 0D 55 62 02
cmd:0x04 | len:8 | payload:01 00 00 00 9A 94 71 02
cmd:0x04 | len:8 | payload:02 00 00 00 41 97 71 02
cmd:0x04 | len:8 | payload:03 00 00 00 2E 97 71 02
cmd:0x04 | len:8 | payload:01 00 00 00 A8 D6 80 02
cmd:0x04 | len:8 | payload:02 00 00 00 5F D9 80 02
cmd:0x04 | len:8 | payload:03 00 00 00 4C D9 80 02
cmd:0x04 | len:8 | payload:01 00 00 00 BB 18 90 02
cmd:0x04 | len:8 | payload:02 00 00 00 83 1B 90 02
cmd:0x04 | len:8 | payload:03 00 00 00 6F 1B 90 02
cmd:0x04 | len:8 | payload:01 00 00 00 CE 5A 9F 02
cmd:0x04 | len:8 | payload:02 00 00 00 A6 5D 9F 02
cmd:0x04 | len:8 | payload:03 00 00 00 92 5D 9F 02
cmd:0x04 | len:8 | payload:01 00 00 00 DD 9C AE 02
cmd:0x04 | len:8 | payload:02 00 00 00 C6 9F AE 02
cmd:0x04 | len:8 | payload:03 00 00 00 B1 9F AE 02
cmd:0x04 | len:8 | payload:01 00 00 00 ED DE BD 02
cmd:0x04 | len:8 | payload:02 00 00 00 E6 E1 BD 02
cmd:0x04 | len:8 | payload:03 00 00 00 D1 E1 BD 02
cmd:0x04 | len:8 | payload:03 00 00 00 F0 23 CD 02
cmd:0x04 | len:8 | payload:01 00 00 00 FC 20 CD 02
cmd:0x04 | len:8 | payload:02 00 00 00 06 24 CD 02
cmd:0x04 | len:8 | payload:02 00 00 00 29 66 DC 02
cmd:0x04 | len:8 | payload:01 00 00 00 0F 63 DC 02
cmd:0x04 | len:8 | payload:03 00 00 00 13 66 DC 02
cmd:0x04 | len:8 | payload:02 00 00 00 4A A8 EB 02
cmd:0x04 | len:8 | payload:01 00 00 00 1E A5 EB 02
cmd:0x04 | len:8 | payload:03 00 00 00 33 A8 EB 02
cmd:0x04 | len:8 | payload:01 00 00 00 32 E7 FA 02
cmd:0x04 | len:8 | payload:02 00 00 00 6D EA FA 02
cmd:0x04 | len:8 | payload:03 00 00 00 56 EA FA 02
cmd:0x04 | len:8 | payload:01 00 00 00 3D 29 0A 03
cmd:0x04 | len:8 | payload:02 00 00 00 8A 2C 0A 03
cmd:0x04 | len:8 | payload:03 00 00 00 72 2C 0A 03
cmd:0x04 | len:8 | payload:01 00 00 00 52 6B 19 03
cmd:0x04 | len:8 | payload:02 00 00 00 B0 6E 19 03
